id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-label;note-type;number;pages;publisher;publnr;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
4109564;David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith;;0000-0001-7037-4567;;;;;;;;;https://doi.org/10.1007/s11280-007-0033-x;;;World Wide Web;conf/www/MartinBMMPSMSS07;2022-01-03;;;;;3;243-277;;;;;;Bringing Semantics to Web Services with OWL-S.;;;db/journals/www/www10.html#MartinBMMPSMSS07;;2007
4110253;Anis Charfi|Mira Mezini;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0016-3;;;World Wide Web;conf/www/CharfiM07;2017-05-23;;;;;3;309-344;;;;;;AO4BPEL: An Aspect-oriented Extension to BPEL.;;;db/journals/www/www10.html#CharfiM07;;2007
4110367;Bart Verheecke|Davy Suvée|María Agustina Cibrán|Viviane Jonckers|Wim Vanderperren;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0017-2;;;World Wide Web;conf/www/CibranVVSJ07;2017-05-23;;;;;3;211-242;;;;;;Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.;;;db/journals/www/www10.html#CibranVVSJ07;;2007
4111432;Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine;;0000-0001-7880-2140;;;;;;;;;https://doi.org/10.1007/s11280-006-0015-4;;;World Wide Web;conf/www/GeorgakopoulosBNC07;2020-10-25;;;;;1;85-109;;;;;;Event-driven Video Awareness Providing Physical Security.;;;db/journals/www/www10.html#GeorgakopoulosBNC07;;2007
4112756;Istvan Beszteri|Petri Vuorimaa;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0008-3;;;World Wide Web;conf/www/BeszteriV07;2017-05-23;;;;;1;1-35;;;;;;Vertical Navigation of Layout Adapted Web Documents.;;;db/journals/www/www10.html#BeszteriV07;;2007
4112814;Jean-Philippe Martin-Flatin|Welf Löwe;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0035-8;;;World Wide Web;conf/www/Martin-FlatinL07;2017-05-23;;;;;3;205-209;;;;;;Special Issue on Recent Advances in Web Services.;;;db/journals/www/www10.html#Martin-FlatinL07;;2007
4113604;Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan;;0000-0001-7970-6118;;;;;;;;;https://doi.org/10.1007/s11280-006-0009-2;;;World Wide Web;conf/www/LimWPVA07;2023-03-21;;;;;1;37-69;;;;;;Efficient Update of Indexes for Dynamically Changing Web Documents.;;;db/journals/www/www10.html#LimWPVA07;;2007
5507956;Mohammad Arif Ul Alam|Nilavra Pathak|Nirmalya Roy;;;;;;;;;;;https://doi.org/10.4108/eai.22-7-2015.2260073;;;EAI Endorsed Trans. Ubiquitous Environ.;conf/mobiquitous/AlamPR15;2020-04-24;;;;;7;e2;;;;;;Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.;;;db/journals/ue/ue2.html#AlamPR15;2;2015
6244374;Emilio Coppa;;0000-0002-8094-871X;;;;;;;;;https://doi.org/10.4108/icst.valuetools.2014.258172;;;EAI Endorsed Trans. Ubiquitous Environ.;conf/valuetools/Coppa14;2022-04-09;;;;;7;e5;;;;;;An interactive visualization framework for performance analysis.;;;db/journals/ue/ue2.html#Coppa14;2;2015
6704841;Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu;;0000-0002-9581-401X;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064142;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BabuRAHN14;2020-12-29;;;;;2;103-124;;;;;;Trust integrated node potential aware routing for WSNs.;;;db/journals/ijtmcc/ijtmcc2.html#BabuRAHN14;2;2014
6704842;Anant V. Nimkar|Soumya K. Ghosh 0001;;0000-0002-3904-2924;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067369;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NimkarG14;2022-04-09;;;;;4;330-352;;;;;;An access control model for cloud-based EMR federation.;;;db/journals/ijtmcc/ijtmcc2.html#NimkarG14;2;2014
6704843;Jeril Kuriakose|Sandeep Joshi;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002828;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KuriakoseJ16;2020-06-05;;;;;3;246-268;;;;;;Secured MPR node selection in the presence of cheating nodes.;;;db/journals/ijtmcc/ijtmcc3.html#KuriakoseJ16;3;2016
6704844;Julita Vassileva|Sabrina Nusrat;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053262;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NusratV13;2020-06-05;;;;;2;121-139;;;;;;Simulating a trust-based service recommender system for decentralised user modelling environment.;;;db/journals/ijtmcc/ijtmcc1.html#NusratV13;1;2013
6704845;Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063273;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DasCS14;2020-06-05;;;;;1;78-102;;;;;;Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc2.html#DasCS14;2;2014
6704846;Mulagala Sandhya|Munaga V. N. K. Prasad;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005484;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SandhyaP16;2020-06-05;;;;;4;319-335;;;;;;A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.;;;db/journals/ijtmcc/ijtmcc3.html#SandhyaP16;3;2016
6704847;Leila Kheroua|Louiza Mansour|Samira Moussaoui;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052526;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KherouaMM13;2020-06-05;;;;;1;73-84;;;;;;EDARD: efficient data access based on rumour dissemination in wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc1.html#KherouaMM13;1;2013
6704848;Ajith Abraham|Mrutyunjaya Panda;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067305;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PandaA14;2020-06-05;;;;;3;229-258;;;;;;Development of a reliable trust management model in social internet of things.;;;db/journals/ijtmcc/ijtmcc2.html#PandaA14;2;2014
6704849;Appala Naidu Tentu|Prabal Paul|V. Ch. Venkaiah;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067378;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/TentuPV14;2020-06-05;;;;;4;353-378;;;;;;Computationally perfect compartmented secret sharing schemes based on MDS codes.;;;db/journals/ijtmcc/ijtmcc2.html#TentuPV14;2;2014
6704850;Fufang Li|Lingxi Peng|Miao Liu 0005|Waixi Liu 0001|Ying Gao;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056430;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/GaoPLLL13;2022-06-17;;;;;3/4;200-211;;;;;;Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.;;;db/journals/ijtmcc/ijtmcc1.html#GaoPLLL13;1;2013
6704851;K. Chandrasekaran 0001|Manoj V. Thomas;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064144;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ThomasS14;2023-03-09;;;;;2;125-149;;;;;;Agent-based approach for identity and access management in the inter-cloud environments.;;;db/journals/ijtmcc/ijtmcc2.html#ThomasS14;2;2014
6704852;Animesh Mahata|Biswajit Biswas|Md. Asif Sarfaraj|Palash Mandal|Subhas Barman|Utpal Pal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005490;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BarmanPSBMM16;2020-06-05;;;;;4;336-359;;;;;;A complete literature review on financial fraud detection applying data mining techniques.;;;db/journals/ijtmcc/ijtmcc3.html#BarmanPSBMM16;3;2016
6704853;Amanjot Kaur|Varun Dutt;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056428;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DuttK13;2020-06-05;;;;;3/4;261-273;;;;;;Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.;;;db/journals/ijtmcc/ijtmcc1.html#DuttK13;1;2013
6704854;Bahia Zebbane|Manel Chenait|Nadjib Badache;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056446;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ZebbaneCB13;2020-06-05;;;;;3/4;320-340;;;;;;GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc1.html#ZebbaneCB13;1;2013
6704855;Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena;;0000-0002-5963-5735;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056427;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BabuPJ13;2020-06-05;;;;;3/4;230-242;;;;;;Enhanced t-closeness for balancing utility and privacy.;;;db/journals/ijtmcc/ijtmcc1.html#BabuPJ13;1;2013
6704856;Deepnarayan Tiwari|G. R. Gangadharan|Maode Ma;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005483;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/TiwariGM16;2020-06-05;;;;;4;291-318;;;;;;Secure delegation of services through proxy signature with revocation.;;;db/journals/ijtmcc/ijtmcc3.html#TiwariGM16;3;2016
6704857;Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski;;0000-0002-1149-7863|0000-0002-5955-5890;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056431;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KonorskiPKKCS13;2021-10-14;;;;;3/4;274-299;;;;;;Theory and implementation of a virtualisation level Future Internet defence in depth architecture.;;;db/journals/ijtmcc/ijtmcc1.html#KonorskiPKKCS13;1;2013
6704858;Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan;;0000-0002-3289-6599;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052522;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NepalPBS13;2020-06-05;;;;;1;3-22;;;;;;A trust model-based analysis of social networks.;;;db/journals/ijtmcc/ijtmcc1.html#NepalPBS13;1;2013
6704859;C. Balarengadurai|S. Saraswathi;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056424;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BalarengaduraiS13;2020-06-05;;;;;3/4;243-260;;;;;;Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.;;;db/journals/ijtmcc/ijtmcc1.html#BalarengaduraiS13;1;2013
6704860;Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi;;0000-0001-9377-7713;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076953;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DwivediMD15;2020-06-05;;;;;2;115-146;;;;;;Role of parameter adaptation in chaotic communication.;;;db/journals/ijtmcc/ijtmcc3.html#DwivediMD15;3;2015
6704861;Mohan S. Kankanhalli|Mukesh Kumar Saini|Pradeep K. Atrey|Sharad Mehrotra;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052523;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SainiAMK13;2020-06-05;;;;;1;23-51;;;;;;Privacy aware publication of surveillance video.;;;db/journals/ijtmcc/ijtmcc1.html#SainiAMK13;1;2013
6704862;Jaipal Reddy Anugu|Munaga V. N. K. Prasad;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002818;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PrasadA16;2020-06-05;;;;;3;224-245;;;;;;Multi-algorithmic fingerprint model for cancellable template generation.;;;db/journals/ijtmcc/ijtmcc3.html#PrasadA16;3;2016
6704863;Jitendra Singh|Rakesh Kumar 0008|Vimal Kumar 0002;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010538;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarKS17;2023-03-06;;;;;1;17-35;;;;;;An efficient and secure RSA-based certificateless signature scheme for wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc4.html#KumarKS17;4;2017
6704864;Kenneth David Strang;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095608;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Strang18;2020-06-05;;;;;2;95-110;;;;;;Socio-cultural distrust of internet information.;;;db/journals/ijtmcc/ijtmcc4.html#Strang18;4;2018
6704865;Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067303;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChatterjeeDS14;2020-06-05;;;;;3;259-295;;;;;;A survey on user access control in wireless sensor networks with formal security verification.;;;db/journals/ijtmcc/ijtmcc2.html#ChatterjeeDS14;2;2014
6704866;Brennen Kelly|Kelsey Karpinski|Syed S. Rizvi|Taryn Walker;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076966;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RizviKKW15;2020-06-05;;;;;2;168-192;;;;;;A user oriented cloud security evaluation framework.;;;db/journals/ijtmcc/ijtmcc3.html#RizviKKW15;3;2015
6704867;Arpita Bhargava|Brijesh Kumar Chaurasia|Kapil Sharma|Shekhar Verma;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010539;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SharmaCVB17;2020-06-05;;;;;1;36-51;;;;;;Trust computation in VANET using TOEFV.;;;db/journals/ijtmcc/ijtmcc4.html#SharmaCVB17;4;2017
6704868;Albert Rego|Christos Gkountis|Jaime Lloret 0001|Laura García;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010537;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RegoGGL17;2020-08-25;;;;;1;1-16;;;;;;A new proposal for trust management in wireless sensor networks based on validation.;;;db/journals/ijtmcc/ijtmcc4.html#RegoGGL17;4;2017
6704869;Hisham Salah|Mohamed Eltoweissy;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095612;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SalahE18;2020-06-05;;;;;2;132-171;;;;;;Personalised reconfigurable trust management.;;;db/journals/ijtmcc/ijtmcc4.html#SalahE18;4;2018
6704870;Jens Müller 0002|Klemens Böhm;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063274;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/0002B14;2020-06-05;;;;;1;40-77;;;;;;Identity business processes.;;;db/journals/ijtmcc/ijtmcc2.html#0002B14;2;2014
6704871;Nick Wainwright|Siani Pearson;;0000-0003-3576-9402;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052524;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PearsonW13;2020-06-05;;;;;1;52-72;;;;;;An interdisciplinary approach to accountability for future internet service provision.;;;db/journals/ijtmcc/ijtmcc1.html#PearsonW13;1;2013
6704872;Deepthi P. Pattathil|Nishanth Augustine|Sudhish N. George;;0000-0003-2295-7455;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072467;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/AugustineGP15;2020-06-05;;;;;1;74-92;;;;;;An audio encryption technique through compressive sensing and Arnold transform.;;;db/journals/ijtmcc/ijtmcc3.html#AugustineGP15;3;2015
6704873;A. Pravin Renold|S. Geethanjali;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063270;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RenoldG14;2020-06-05;;;;;1;7-21;;;;;;A trust-based AODV routing protocol for improved QoS in mobile ad-hoc networks.;;;db/journals/ijtmcc/ijtmcc2.html#RenoldG14;2;2014
6704874;Agrima Srivastava|G. Geethakumari;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072461;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SrivastavaG15;2020-06-05;;;;;1;19-39;;;;;;Privacy landscape in online social networks.;;;db/journals/ijtmcc/ijtmcc3.html#SrivastavaG15;3;2015
6704875;Al-Sakib Khan Pathan;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063272;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Pathan14;2020-06-05;;;;;1;1-6;;;;;;Editorial article: On the boundaries of trust and security in computing and communications systems.;;;db/journals/ijtmcc/ijtmcc2.html#Pathan14;2;2014
6704876;Adrijit Goswami|Ashok Kumar Das|Vanga Odelu;;0000-0001-6903-0361;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053278;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/OdeluDG13;2020-06-05;;;;;2;156-174;;;;;;A novel linear polynomial-based dynamic key management scheme for hierarchical access control.;;;db/journals/ijtmcc/ijtmcc1.html#OdeluDG13;1;2013
6704877;Dheerendra Mishra|Sourav Mukhopadhyay;;0000-0001-8115-6397;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063271;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/MishraM14;2020-06-05;;;;;1;22-39;;;;;;A privacy enabling content distribution framework for digital rights management.;;;db/journals/ijtmcc/ijtmcc2.html#MishraM14;2;2014
6704878;G. Geethakumari|K. P. Krishna Kumar;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067306;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarG14;2020-06-05;;;;;3;207-228;;;;;;Analysis and modelling of semantic attacks in online social networks.;;;db/journals/ijtmcc/ijtmcc2.html#KumarG14;2;2014
6704879;Jared Oluoch;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076961;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Oluoch15;2020-06-05;;;;;2;147-167;;;;;;A theoretical framework for trust management in vehicular ad hoc networks.;;;db/journals/ijtmcc/ijtmcc3.html#Oluoch15;3;2015
6704880;Jemal H. Abawajy|Soon-Keow Chong;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072455;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChongA15;2020-06-05;;;;;1;1-18;;;;;;Mitigating malicious feedback attacks in trust management systems.;;;db/journals/ijtmcc/ijtmcc3.html#ChongA15;3;2015
6704881;Md. Imran Alam|Raju Halder;;0000-0002-8873-8258;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002816;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/AlamH16;2022-01-03;;;;;3;193-223;;;;;;Refining dependencies for information flow analysis of database applications.;;;db/journals/ijtmcc/ijtmcc3.html#AlamH16;3;2016
6704882;Priyanka Dey|Sarmistha Neogy|Suparna Biswas;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067360;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BiswasDN14;2020-06-05;;;;;4;379-405;;;;;;Improved recovery probability of mobile hosts using energy and mobility-based secure checkpointing-recovery.;;;db/journals/ijtmcc/ijtmcc2.html#BiswasDN14;2;2014
6704883;Bhagyalekshmy N. Thampi|Guillaume Bouffard|Jean-Louis Lanet;;0000-0002-2046-369X;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064158;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BouffardTL14;2020-09-05;;;;;2;185-205;;;;;;Security automaton to mitigate laser-based fault attacks on smart cards.;;;db/journals/ijtmcc/ijtmcc2.html#BouffardTL14;2;2014
6704884;BKSP Kumar Raju Alluri|G. Geethakumari|Geetha Meera;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005491;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/MeeraAG16;2020-06-05;;;;;4;360-372;;;;;;CEAT: a cloud evidence acquisition tool for aiding forensic investigations in cloud systems.;;;db/journals/ijtmcc/ijtmcc3.html#MeeraAG16;3;2016
6704885;Anant V. Nimkar|Soumya K. Ghosh 0001;;0000-0002-3904-2924;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095609;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NimkarG18;2022-04-09;;;;;2;111-131;;;;;;Caucus: an authentication protocol for cloud federation.;;;db/journals/ijtmcc/ijtmcc4.html#NimkarG18;4;2018
6704886;Arunkumar Thangavelu|Debi Prasanna Acharjya|K. Senthil Kumar;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053259;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarAT13;2020-06-05;;;;;2;105-120;;;;;;Trust evaluation using fuzzy proximity relation with ordering for MANET.;;;db/journals/ijtmcc/ijtmcc1.html#KumarAT13;1;2013
6704887;Enrico Cambiaso|Gianluca Papaleo|Giovanni Chiola|Maurizio Aiello;;0000-0002-6932-1975;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056440;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/CambiasoPCA13;2020-06-05;;;;;3/4;300-319;;;;;;Slow DoS attacks: definition and categorisation.;;;db/journals/ijtmcc/ijtmcc1.html#CambiasoPCA13;1;2013
6704888;A. Christy|Rangareddy Jayashree|S. Venkatesh;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095621;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/JayashreeCV18;2020-06-05;;;;;2;172-191;;;;;;Personalised recommendation system for ranking in question-answering websites with splay tree by avoiding tumbleweed badge.;;;db/journals/ijtmcc/ijtmcc4.html#JayashreeCV18;4;2018
6704889;Nilesh Chakraborty|Samrat Mondal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067375;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyM14;2020-06-05;;;;;4;309-329;;;;;;I-SLASS: an improved login approach over SLASS.;;;db/journals/ijtmcc/ijtmcc2.html#ChakrabortyM14;2;2014
6704890;Nilesh Chakraborty|Samrat Mondal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076952;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyM15;2020-06-05;;;;;2;93-114;;;;;;HoneyString: an improved methodology over tag digit-based honeypot to detect shoulder surfing attack.;;;db/journals/ijtmcc/ijtmcc3.html#ChakrabortyM15;3;2015
6704891;Kamel Saddiki|Marc Gilg|Pascal Lorenz|Sofiane Boukli Hacene;;0000-0002-9760-3806|0000-0003-4322-4947;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010575;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SaddikiHLG17;2020-06-05;;;;;1;75-93;;;;;;Black hole attack detection and ignoring in OLSR protocol.;;;db/journals/ijtmcc/ijtmcc4.html#SaddikiHLG17;4;2017
6704892;Anand Singh Jalal|Charul Bhatnagar|Soumendu Chakraborty;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053263;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyJB13;2020-06-05;;;;;2;140-155;;;;;;An efficient bit plane X-OR algorithm for irreversible image steganography.;;;db/journals/ijtmcc/ijtmcc1.html#ChakrabortyJB13;1;2013
6704893;Ratna Dutta|Sarbari Mitra|Sourav Mukhopadhyay;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064157;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/MitraDM14;2020-06-05;;;;;2;150-184;;;;;;A deterministic key pre-distribution scheme for WSN using projective planes and their complements.;;;db/journals/ijtmcc/ijtmcc2.html#MitraDM14;2;2014
6704894;Eric D. Kameni|Theo P. van der Weide;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010543;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KameniW17;2020-06-05;;;;;1;52-74;;;;;;Intrusion detection in a trust-based recommendation system.;;;db/journals/ijtmcc/ijtmcc4.html#KameniW17;4;2017
